nama_barang
Layar Proyektor Apollo
OHP Proyektor 3M
Laptop Toshiba Satelite M300
Laptop Mac Intel Core 2
LCD Proyektor SONY VPL EX122
LCD Proyektor SONY VPL EX123
Laptop HP Pavilion g41003TXs
Laptop Mac Intel Core i7
Router Modular 28 Series
Memory DRAM
Memory Flash 2900 Series
WAN Interface Card
Switch Catalyst
Rack Router
Router OS Modul (DOM)
Omni Antenna Indoor
Access Point Wireless Mikrotik RB 800
Access Point Wireless Mikrotik RB 433AH
Access Point Wireless Mikrotik RB 750AH
Access Point Wireless Mikrotik RB 450G
Access Point Wireless Mikrotik RB 493
Access Point Wireless
Cable Male Smart Serial
Cable Female Smart Serial
IP Camera Sony LCS201A
Meja Biro Kayu Jati Berkaca
Lemari Besi Elite Type EL438
LCD Proyektor Infocus IN2124
LCD Proyektor Infocus IN112
Kursi Futura FTR405 Blue
Kursi Futura FTR405 Red
Kursi Futura FTR467 Blue Berlengan
White Board 120x240cm
White Board 120x240 beroda
Kursi Sofa Jati
Trainner Set FPGA
Trainner Set Arduino Sensor
Trainner Set AVR Microcontroller
Trainner Set 8051 Microcontroller
PC Unit Acer
AC Stabilizzer
Fiber Cleaver Sumitomo FC65
Fiber Cleaver Sumitomo FC67
Fiber Cleaver Sumitomo FC68
Fiber Cleaver Sumitomo FC69
Fiber Optic Stripper Line Miler FO103S
Optical Light Source Joinwit JW31105A
Optical Power Meter Joinwit JW3208
Optical Power Meter Joinwit JW3209
Optical Power Meter Joinwit JW3210
Optical Power Meter Joinwit JW3211
Optical Power Meter Joinwit JW3212
Optical Time Domain Reflector
Automatic Intelegent Optical
Mikrotik CRS22624G2S+RM
AC Split Panasoc CSPN12RK
AC Split LG S07LFG2
Kursi Dosen Donati Replay 3C
LCD Proyektor BENQ 505
Printer Laser Jet HP CP1025
Printer Deskjet HP 1510
Meja Kantor Donati DOT3
Meja Biro Daeko MD120
Meja Biro Daeko MD121
Meja Biro Daeko MD122
Meja Biro Daeko MD123
Meja Biro Daeko MD124
Meja Biro Daeko MD125
Meja Biro Daeko MD126
Meja Biro Daeko MD127
Meja Biro Daeko MD128
Meja Biro Daeko MD129
Meja Biro Daeko MD130
Dispenser Sanex D302
LCD Proyektor Toshiba
Laptop Dell Latitude D610
Laptop Advan G4D44125S
Active Speaker Logitech R5
Kipas Angin Tembok SEKAY 12 Inch
Meja Kuliah 50x50x75cm
Mouse Optic USB Cable M Tech
VGA Cable Male 15 Meter
Bar Code Reader EZO 1500USB
Handycam Sony DCRDVD810E
Handycam JVC Everio GZMS95
Handycam JVC Everio GZMS96
Scanner
Stand Camera Promoss
Lampu Lab Sensor Light
Lampu Lab Starlite SL800DM
Lampu Lab Qihe 1300 watt
Stand Lampu
Mix Excellent Kenwood E706
Mix Excellent Kenwood E707
Pen Tablet CTL460/KO
Pen Tablet CTL470/KO
Camera Digital Canon EOS60D
Digital HD Video Camera SONY XMRMC1500P
Stand Camera Daiwa DST43
Stand Camera Daiwa DST44
Kamera DSLR Canon EOS60D
Laptop Axio
Laptop Lenovo
Laptop Asus X451M
Laptop Asus X453M
Scanner Barcode SNAP
Speaker Aktif CBM HY586
Stand Mic Krezt
Pop Filter
Pop Filter Samson
Mic Recording Samson
Mic Dinamic Samson
Sound Mixer Behringher
Headphone Samson
S AMP Samson
Sennheiser HD202
Laptop Axio Neon MNC
Lemari Buku Berkaca Texblok 66x40x176
Lemari Buku Berkaca Texblok 66x40x177
Lemari Buku Berkaca Texblok 66x40x178
Lemari Buku Berkaca Texblok 66x40x179
Lemari Buku Berkaca Texblok 66x40x180
Meja Kantor Tekblok 10x60x75
Meja Kantor Tekblok 10x60x76
Meja Kantor Tekblok 10x60x77
Meja Kantor Tekblok 10x60x78
Meja Kantor Tekblok 10x60x79
Meja Kantor Tekblok 10x60x80
Meja Bulat Lipat
Kursi Lipat Batik
LCD Proyektor SONY VPLDX122
LCD Proyektor SONY VPLDX123
LCD Proyektor SONY VPLDX124
LCD Proyektor SONY VPLDX125
LCD Proyektor SONY VPLDX126
LCD Proyektor SONY VPLDX127
LCD Proyektor SONY VPLDX128
Router Cisco
Switch Cisco
Meja Biro Kayu Berkaca
Rak Buku Carboot
LCD Proyektor SONY
Mesin Bor Duduk
AC Split LG 1.5 PK
AC Split Panasonic
AC Split LG
Vacum Cleaner Sharp
Lemari Besi 2 Pintu President
Lemari Besi 4 Pintu Locker
Meja Kerja Kayu Jati
Meja Kerja Kayu Berkaki Besi
Meja Kantor Carboot
White Board 240x120
White Board 240x121
White Board 240x122
White Board 240x123
Rak Buku 4 Susun
Rak Cisco
Switch Catalist
Meja Biro Carboot
Kursi Tunggu Kayu
Lemari Besi 2 Pintu
File Kabinet 3 Laci
Rak Besi 5 Susun
Arduino UNO Red
IR Remote Control Infrared
ITEAD Bluetooth Shield
Seven Segmen Shield
GPRS Quadband Shield VI.2
GPRS Quadband Shield VI.3
GPRS Quadband Shield VI.4
GPRS Quadband Shield VI.5
GPRS Quadband Shield VI.6
Xbee Shield
Motor Servo 360 Derajat DS04NFC
Motor DC Gear Box Kecil
RFID RW Axopos H05H
Mikro Meter National
Jangka Sorong Naional
Ragum Mini For PCB Weill
Tine Sucker Ash
Solder Tangan Good 30 Watt
Tang Crimping Gold Tool
LAN Tester Pluntank
Kabel Consul
Kabel Straight
Kabel Cross
Cable SSV35MT DTE Male to Serial
Cable SSV35FC DTE Female to Serial
Wifi Access Point TPLINK WA801DN
Wireless Router DLink USB TPLINK
Dispenser Miyako WD 290 HC
Dispenser Sekai WD 322
4x5.5 Graphic Tablet
Printer Color Canon Pixma IP100
Remote Cable Tester PUNKTAK TCT1620
LAN Cable Solution GOLDTOOL TCT2690 PRO
Lemari Pendingin Sanyo
Tangga Alumunium 1.5 Meter
Filament D 1.75mm
Card SSD CRUCIAL MX500 500GB
Toner HP Type 48A
Toner HP Type 85A
Connector Cat 6 ORIGINAL PANDUIT NETKEY
RJ 45
Modul Baterai Mac Macbook Pro 15 A1321
Baterai 1.5V Alkaline AA
Baterai 9V Alkaline Kotak
UTP Cable cat6 PANDUIT COPPER CABLE
UTP Cable cat6a PANDUIT COPPER CABLE
Router dan Gateway Wireless RBD52G
Kabel HDMI 2 Meter
Ubiquiti Nano Station Loco M2 2.4ghz
TPLINK Cpe510 Dual Channel
TPLINK 8 Port Gigabit Easy Smart Switch GB ETH 8 Port
TPLINK 8 Port Gigabit Easy Smart Switch 2.4ghz
Routerboard CRS1061C5S
TLWN821N 150mbps
TLWN722N 300mbps
Multimeter Digital Sanwa CD800A
Solder Quick Station 936
Obeng 4SET KRISBOW
Attractor Solder Sucker Full Auto
Tang Potong Sanfix CP178 AS by Dekko CP178AS
Tang Lancip TEKIRO SET / Kombinasi Lancip Potong
Pinset CODY 3in1
Fat LOTFET 50 GR FAT FET STANOL GREASE PASTA
Timah ASAHI 0.85mm 60/40 1/4kg
Glue Gun RAPID HOBBY 12mm
Glue Gun Stick 12mm
LED 5mm
HP 240 G6 i7 7500
LED 5mm Merah
Bread Board GL12
Hiled Power Supply 5V 4 Ampere
Hiled Power Supply 12V 4 Ampere
Main Chasis 2WD Smart Robot Car
Arduio UNO R3 DIP+Kabel USB
DataComm Hc06 Bluetooth Module Hc06
Raspberry Pi3 Model B ARMv8 with 1G RAM
Camera CMU Cam4 Camera for Arduino and Raspberry Pi
Kotak Komponen Mini 5 Slot / Mini Box MK02 Kenmaster
Mic Clip On Senheiser E122
LED 5mm Merah
LED 5mm Kuning
Resistor 220ohm 1/4watt 1%
Resistor 470ohm 1/4watt 1%
Resistor 1Kohm
Bread Board GL12 (2020)
Main Chasis 2WD Smart Robot Car (2020)
Arduino UNO R3 DIP+Kabel USB (2020)
DataComm Hc06 Bluetooth Module Hc06
Hotplug Tray Server Bracket HDD Tray Server DELL 3.5 inch
Mounting SSD HDD Bracket MOunting 2.5 inch
Macbook LTP.IT.10
Raspberry Pi3 3b Model B Plus
Arduino UNO R3 ATMEGA 328
NodeMCU V3 ESP8266
Infrared IR Transmitter Module
Photo Resistor LDR Resistance Sensor Cahaya Module
Flame Sensor KY026
Digital Touch Sensor TTP233B Modul
Sound Sensor KYC038
Raindrops Rain Humidity Detection Sensor
Soil Hygrometer Sensor
Track Tracker Follower Sensor A96
Color Recognition Sensor
Sensor Ultrasonic HCSR04
PIR Motion Sensor Module
